iter	Passed	Remaining
0	0	78
1	1	71
2	2	66
3	2	60
4	3	58
5	3	60
6	4	59
7	5	58
8	5	60
9	6	59
10	7	58
11	7	57
12	8	57
13	9	56
14	9	56
15	10	56
16	11	55
17	11	54
18	12	53
19	13	52
20	13	52
21	14	51
22	15	50
23	15	49
24	16	49
25	16	48
26	17	47
27	18	46
28	18	46
29	19	46
30	20	45
31	21	44
32	21	44
33	22	43
34	22	42
35	23	42
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	26	37
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	32
48	31	32
49	31	31
50	32	31
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	37	25
59	37	25
60	38	24
61	39	23
62	39	23
63	40	22
64	41	22
65	41	21
66	42	20
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	52	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	6
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
