iter	Passed	Remaining
0	0	813
1	1	717
2	2	676
3	2	663
4	3	658
5	3	651
6	4	653
7	5	652
8	5	650
9	6	647
10	7	641
11	7	634
12	8	630
13	8	628
14	9	623
15	10	639
16	11	640
17	11	635
18	12	643
19	13	641
20	13	640
21	14	642
22	15	647
23	15	642
24	16	644
25	17	643
26	17	642
27	18	639
28	18	634
29	19	631
30	20	630
31	20	626
32	21	624
33	21	620
34	22	618
35	23	620
36	23	619
37	24	617
38	25	616
39	25	613
40	26	613
41	26	614
42	27	613
43	28	611
44	28	612
45	29	611
46	30	612
47	30	610
48	31	609
49	31	607
50	32	605
51	33	603
52	33	601
53	34	598
54	34	597
55	35	599
56	36	598
57	36	596
58	37	595
59	37	593
60	38	591
61	38	589
62	39	587
63	40	586
64	40	587
65	41	590
66	42	589
67	42	587
68	43	586
69	43	584
70	44	582
71	45	581
72	45	579
73	46	577
74	46	576
75	47	576
76	48	575
77	48	575
78	49	574
79	49	573
80	50	571
81	50	570
82	51	566
83	51	565
84	52	564
85	53	563
86	53	563
87	54	565
88	55	564
89	55	563
90	56	562
91	56	561
92	57	559
93	57	558
94	58	557
95	59	558
96	59	558
97	60	557
98	61	557
99	61	556
100	62	554
101	62	553
102	63	552
103	63	550
104	64	549
105	64	548
106	65	547
107	66	546
108	66	545
109	67	544
110	67	543
111	68	543
112	69	542
113	69	542
114	70	540
115	70	539
116	71	537
117	71	537
118	72	536
119	72	535
120	73	533
121	73	532
122	74	530
123	74	529
124	75	528
125	76	527
126	76	525
127	77	524
128	77	523
129	78	523
130	78	523
131	79	521
132	79	520
133	80	519
134	80	518
135	81	517
136	81	516
137	82	516
138	83	515
139	83	515
140	84	515
141	85	513
142	85	513
143	86	512
144	86	511
145	87	511
146	88	510
147	88	509
148	89	509
149	90	510
150	90	510
151	91	509
152	91	509
153	92	508
154	93	507
155	93	506
156	94	505
157	94	504
158	95	503
159	96	504
160	96	502
161	97	502
162	97	501
163	98	500
164	98	499
165	99	498
166	99	497
167	100	496
168	100	496
169	101	495
170	102	494
171	102	494
172	103	494
173	103	493
174	104	492
175	104	491
176	105	490
177	105	489
178	106	488
179	107	487
180	107	486
181	108	486
182	108	486
183	109	485
184	110	485
185	110	484
186	111	483
187	111	482
188	112	481
189	112	480
190	113	479
191	113	478
192	114	478
193	115	477
194	115	477
195	116	476
196	116	475
197	117	474
198	117	473
199	118	472
200	118	472
201	119	471
202	120	471
203	120	470
204	121	470
205	121	469
206	122	468
207	122	468
208	123	468
209	124	469
210	125	468
211	125	467
212	126	467
213	127	467
214	127	466
215	128	465
216	128	464
217	129	463
218	129	462
219	130	461
220	130	461
221	131	460
222	131	459
223	132	459
224	133	459
225	133	458
226	134	458
227	135	457
228	135	457
229	136	456
230	137	456
231	137	455
232	138	457
233	139	457
234	140	456
235	141	456
236	141	456
237	142	455
238	142	454
239	143	454
240	144	454
241	145	454
242	145	454
243	146	454
244	147	453
245	147	452
246	148	451
247	148	450
248	149	449
249	149	449
250	150	448
251	150	447
252	151	447
253	152	446
254	152	445
255	153	444
256	153	443
257	154	443
258	154	442
259	155	441
260	155	440
261	156	439
262	156	439
263	157	438
264	157	437
265	158	437
266	158	436
267	159	435
268	159	434
269	160	433
270	160	433
271	161	432
272	161	431
273	162	430
274	164	433
275	164	432
276	165	432
277	166	431
278	166	431
279	167	430
280	167	429
281	168	428
282	169	428
283	169	427
284	170	427
285	170	426
286	171	426
287	172	425
288	172	425
289	173	425
290	174	424
291	175	424
292	175	424
293	176	423
294	177	423
295	177	423
296	178	422
297	178	421
298	179	420
299	179	419
300	180	419
301	181	419
302	181	418
303	182	417
304	183	417
305	183	416
306	184	415
307	184	414
308	185	413
309	185	413
310	186	412
311	186	412
312	187	411
313	188	411
314	188	410
315	189	409
316	189	408
317	190	408
318	190	407
319	191	407
320	192	406
321	192	405
322	193	405
323	193	404
324	194	403
325	194	403
326	195	402
327	195	401
328	196	400
329	196	399
330	197	399
331	197	398
332	198	397
333	199	396
334	199	396
335	200	395
336	200	394
337	201	394
338	201	393
339	202	392
340	202	392
341	203	391
342	203	390
343	204	390
344	205	389
345	205	388
346	206	388
347	206	387
348	207	386
349	207	385
350	208	385
351	208	384
352	209	383
353	209	382
354	210	382
355	210	381
356	211	380
357	219	393
358	219	392
359	220	391
360	220	391
361	221	390
362	221	389
363	222	388
364	222	387
365	223	387
366	224	386
367	224	386
368	225	385
369	226	384
370	226	384
371	227	383
372	227	382
373	228	381
374	228	381
375	229	380
376	229	379
377	230	378
378	231	378
379	231	377
380	232	377
381	233	377
382	233	376
383	234	375
384	234	374
385	235	374
386	235	373
387	236	372
388	237	372
389	237	371
390	238	370
391	238	370
392	239	369
393	239	369
394	240	368
395	240	367
396	241	366
397	241	365
398	242	365
399	243	364
400	243	364
401	244	363
402	244	362
403	245	361
404	245	361
405	246	360
406	247	360
407	247	359
408	248	358
409	248	357
410	249	357
411	249	356
412	250	355
413	251	355
414	251	354
415	252	353
416	252	353
417	253	352
418	253	351
419	254	350
420	254	350
421	255	349
422	255	348
423	256	348
424	256	347
425	257	346
426	257	346
427	258	345
428	259	344
429	259	343
430	260	343
431	260	343
432	261	342
433	262	341
434	262	341
435	263	340
436	263	339
437	264	338
438	264	338
439	265	337
440	265	336
441	266	336
442	266	335
443	267	334
444	268	334
445	268	333
446	269	333
447	269	332
448	270	331
449	270	331
450	271	330
451	271	329
452	272	329
453	273	328
454	273	327
455	274	327
456	274	326
457	275	325
458	276	325
459	276	324
460	277	323
461	277	323
462	278	322
463	278	321
464	279	321
465	279	320
466	280	320
467	280	319
468	281	318
469	282	318
470	282	317
471	283	316
472	283	315
473	284	315
474	284	314
475	285	313
476	285	313
477	286	312
478	286	312
479	287	311
480	288	310
481	288	310
482	289	309
483	289	308
484	290	308
485	290	307
486	291	306
487	291	306
488	292	305
489	293	304
490	293	304
491	294	303
492	294	302
493	295	302
494	295	301
495	296	300
496	296	300
497	297	299
498	297	298
499	298	298
500	298	297
501	299	297
502	299	296
503	300	295
504	301	295
505	301	294
506	302	294
507	302	293
508	303	292
509	304	292
510	304	291
511	305	291
512	306	290
513	306	289
514	307	289
515	307	288
516	308	288
517	308	287
518	309	286
519	310	286
520	310	285
521	311	285
522	311	284
523	312	283
524	312	283
525	313	282
526	313	281
527	314	281
528	315	280
529	315	279
530	316	279
531	316	278
532	317	278
533	318	277
534	318	277
535	319	276
536	319	275
537	320	275
538	321	274
539	321	273
540	322	273
541	322	272
542	323	272
543	323	271
544	324	270
545	325	270
546	325	269
547	326	268
548	326	268
549	327	267
550	327	267
551	328	266
552	329	266
553	329	265
554	330	264
555	330	264
556	331	263
557	331	262
558	332	262
559	332	261
560	333	261
561	334	260
562	334	260
